O.S.;Data;Tipo;Máquina;Nome Máquina;Modelo;Fabricante;Ano de Fabricação;Descrição;Origem
2960;18/08/2024;CORRETIVA;501;501 - Jaguar rebobinadeira;Jaguar;MegaSteel ;2000;OS GERADA AUTOMATICAMENTE POR ERONILDO JOSE LINS DA SILVA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2962;19/08/2024;CORRETIVA;113;113 - Extrusora;113 - Carnevalli monocamada;Carnevalli ;2020;OS GERADA AUTOMATICAMENTE POR ANDREA PEREIRA SOARES OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2965;19/08/2024;CORRETIVA;117;117 - Extrusora;117 - Carnevalli monocamada;Carnevalli ;2016;OS GERADA AUTOMATICAMENTE POR CARLOS EDUARDO FREITAS DE SOUZA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2966;19/08/2024;CORRETIVA;117;117 - Extrusora;117 - Carnevalli monocamada;Carnevalli ;2016;OS GERADA AUTOMATICAMENTE POR CARLOS EDUARDO FREITAS DE SOUZA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2967;19/08/2024;CORRETIVA;418;418 - Hece 850;HECE-850;HECE;2012;OS GERADA AUTOMATICAMENTE POR MARIA SUZANILDA DOS SANTOS SILVA  OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2968;19/08/2024;CORRETIVA;417;417 - Hece 1400;HECE-1400;HECE;2003;OS GERADA AUTOMATICAMENTE POR PAULO ROBERTO PACE OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2973;20/08/2024;CORRETIVA;416;416 - Hece 1400;HECE-1400;HECE;2003;OS GERADA AUTOMATICAMENTE POR GEILDA PEREIRA DE SOUZA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2983;21/08/2024;CORRETIVA;417;417 - Hece 1400;HECE-1400;HECE;2003;OS GERADA AUTOMATICAMENTE POR PAULO ROBERTO PACE OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2984;21/08/2024;CORRETIVA;418;418 - Hece 850;HECE-850;HECE;2012;OS GERADA AUTOMATICAMENTE POR MARIA SUZANILDA DOS SANTOS SILVA  OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
3041;22/08/2024;CORRETIVA;113;113 - Extrusora;113 - Carnevalli monocamada;Carnevalli ;2020;OS GERADA AUTOMATICAMENTE POR DEBORA ALVES BATISTA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
3042;22/08/2024;CORRETIVA;113;113 - Extrusora;113 - Carnevalli monocamada;Carnevalli ;2020;OS GERADA AUTOMATICAMENTE POR AGRICIO RODRIGUES OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
3043;23/08/2024;CORRETIVA;507;507 - MegaSteel Rebobinadeira;;MegaSteel ;2000;OS GERADA AUTOMATICAMENTE POR JOSENIR FERNANDES DA SILVA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
3063;25/08/2024;CORRETIVA;108;108 - Extrusora;108 - Carnevalli monocamada;Carnevalli ;2008;OS GERADA AUTOMATICAMENTE POR IVANILDO NASCIMENTO DA SILVA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
3064;25/08/2024;CORRETIVA;113;113 - Extrusora;113 - Carnevalli monocamada;Carnevalli ;2020;OS GERADA AUTOMATICAMENTE POR MATHEUS FELIPE DA SILVA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
3066;26/08/2024;CORRETIVA;417;417 - Hece 1400;HECE-1400;HECE;2003;OS GERADA AUTOMATICAMENTE POR SERGIO PIRES OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
3074;26/08/2024;CORRETIVA;115;115 - Extrusora;115 - Carnevalli monocamada;Carnevalli ;2017;OS GERADA AUTOMATICAMENTE POR IZAEL DA SILVA RODRIGUES OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
3085;28/08/2024;CORRETIVA;116;116 - Extrusora;116 - Carnevalli monocamada;Carnevalli ;2015;OS GERADA AUTOMATICAMENTE POR JHONATAN MARQUES DOS SANTOS OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
